Circuito: e0_b0_t73.py | Registros clásicos: c132 - c133 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t78.py | Registros clásicos: c134 - c135 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t3.py | Registros clásicos: c136 - c137 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t77.py | Registros clásicos: c138 - c139 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t70.py | Registros clásicos: c140 - c141 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t96.py | Registros clásicos: c142 - c143 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t1.py | Registros clásicos: c144 - c145 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t46.py | Registros clásicos: c146 - c147 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t67.py | Registros clásicos: c148 - c149 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t75.py | Registros clásicos: c150 - c151 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t98.py | Registros clásicos: c152 - c153 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t81.py | Registros clásicos: c154 - c155 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t79.py | Registros clásicos: c156 - c157 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t64.py | Registros clásicos: c158 - c159 | Iteración: 0 | Batch: 3
Circuito: e0_b0_t80.py | Registros clásicos: c160 - c161 | Iteración: 0 | Batch: 4
Circuito: e0_b0_t89.py | Registros clásicos: c162 - c163 | Iteración: 0 | Batch: 4
Circuito: e0_b0_t90.py | Registros clásicos: c164 - c165 | Iteración: 0 | Batch: 4
Circuito: e0_b0_t52.py | Registros clásicos: c166 - c167 | Iteración: 0 | Batch: 4
Circuito: e0_b0_t84.py | Registros clásicos: c168 - c169 | Iteración: 0 | Batch: 4
Circuito: e0_b0_t86.py | Registros clásicos: c170 - c171 | Iteración: 0 | Batch: 4
